,location,population,HighestInfectionCount,PercentPopulationInfected
0,Andorra,77265.0,14836.0,19.20144955672038
1,Seychelles,98340.0,18582.0,18.89566809029896
2,Montenegro,628062.0,103443.0,16.47018924883212
3,Bahrain,1701583.0,269949.0,15.864580217362304
4,Czechia,10708982.0,1674726.0,15.638517274564473
5,San Marino,33938.0,5147.0,15.165890741941187
6,Maldives,540542.0,78243.0,14.47491591772702
7,Slovenia,2078932.0,260041.0,12.508393732935948
8,Cyprus,888005.0,105593.0,11.891036649568415
9,Luxembourg,625976.0,74262.0,11.863394123736374
10,Netherlands,17134873.0,1914609.0,11.173756584014367
11,Georgia,3989175.0,444569.0,11.14438449052749
12,Argentina,45195777.0,5012754.0,11.091199958792611
13,Uruguay,3473727.0,382360.0,11.007197744670204
14,Sweden,10099270.0,1104538.0,10.936810284307679
15,United States,331002647.0,35739551.0,10.79736108575591
16,Serbia,6804596.0,725245.0,10.658163982108563
17,Lithuania,2722291.0,285726.0,10.495791963460189
18,Israel,8655541.0,897326.0,10.367070065291124
19,Panama,4314768.0,441316.0,10.22803543550893
20,Estonia,1326539.0,134950.0,10.17308952092626
21,Spain,46754783.0,4588132.0,9.813182108020905
22,Belgium,11589616.0,1136726.0,9.808142047156695
23,Portugal,10196707.0,984985.0,9.659834297484473
24,Colombia,50882884.0,4834634.0,9.50149366533548
25,Brazil,212559409.0,20151779.0,9.480539626453327
26,Kuwait,4270563.0,402794.0,9.431871160781377
27,France,67564251.0,6350899.0,9.399791910665893
28,United Kingdom,67886004.0,6070873.0,8.942746136596876
29,Croatia,4105268.0,364832.0,8.886922851321765
30,Chile,19116209.0,1622509.0,8.487608604823269
31,Hungary,9660350.0,809855.0,8.383288390172199
32,Switzerland,8654618.0,723968.0,8.365106351314408
33,Lebanon,6825442.0,570098.0,8.35254332246908
34,South America,430759772.0,35912440.0,8.336999491215256
35,Costa Rica,5094114.0,416677.0,8.179577449582007
36,Liechtenstein,38137.0,3099.0,8.125966908776254
37,Qatar,2881060.0,227472.0,7.895427377423587
38,Malta,441539.0,34787.0,7.87857924215075
39,European Union,444919060.0,34860372.0,7.835216589732073
40,Armenia,2963234.0,231923.0,7.82668530396182
41,Poland,37846605.0,2883976.0,7.62017095060442
42,Jordan,10203140.0,776178.0,7.607246396697487
43,Monaco,39244.0,2973.0,7.575680358780961
44,North Macedonia,2083380.0,157627.0,7.565926523245879
45,Latvia,1886202.0,139347.0,7.387702907747951
46,Austria,9006400.0,662529.0,7.356202256173387
47,Italy,60461828.0,4390684.0,7.261910771205924
48,North America,592072204.0,42753936.0,7.221067922317123
49,Slovakia,5459643.0,393007.0,7.198401067615594
50,Europe,748680069.0,52663236.0,7.034144246732979
51,United Arab Emirates,9890400.0,691554.0,6.992174229555934
52,Turkey,84339067.0,5895841.0,6.990640529613637
53,Moldova,4033963.0,260555.0,6.459032965845249
54,Peru,32971846.0,2124128.0,6.44224772856212
55,Paraguay,7132530.0,454865.0,6.377330344211661
56,Ireland,4937796.0,310628.0,6.290822869150528
57,Bosnia and Herzegovina,3280815.0,206106.0,6.282158549019069
58,Palestine,5101416.0,317703.0,6.2277414741318875
59,Bulgaria,6948445.0,427873.0,6.157823800864798
60,Cape Verde,555988.0,34010.0,6.117038497233753
61,Oman,5106622.0,298020.0,5.83595182882148
62,Kosovo,1932774.0,109662.0,5.673813906850982
63,Romania,19237682.0,1084711.0,5.638470372885881
64,Denmark,5792203.0,324120.0,5.595798351680699
65,Ukraine,43733759.0,2343046.0,5.357522549113603
66,Mongolia,3278292.0,172069.0,5.248739282528829
67,Botswana,2351625.0,122574.0,5.21231063626216
68,Tunisia,11818618.0,608114.0,5.145390095525551
69,Greece,10423056.0,512342.0,4.915468169795884
70,Iran,83992953.0,4119110.0,4.904113801070906
71,Belarus,9449321.0,452953.0,4.7934978608515895
72,Namibia,2540916.0,120814.0,4.754741990683675
73,Albania,2877800.0,133730.0,4.646952533185072
74,Germany,83783945.0,3795609.0,4.53023428295242
